message	phishing	url	dominio	tiene_https	longitud_url	presencia_subdominio	palabras_clave_sospechosas
Boludo, me picó un mosquito en el ojo. No veo nada	0			0	0	0	0
Me duele mucho la cabeza. Creo que me quedaré en casa hoy.	0			0	0	0	0
Q onda? Estoy teniendo problemas con mi cuenta de MercadoLibre. Me podes pasar tu usuario y clave para probar algo?	1			0	0	0	1
Che, ¿podés enviarme tu número de CUIL? Es para un trámite del laburo.	1			0	0	0	0
Participa en nuestro sorteo exclusivo y gana un viaje todo pagado. Haz clic aquí.	1			0	0	0	1
Hoy me paró la policía. Me querían hacer una multa	0			0	0	0	0
¡Tu dibujo ha sido seleccionado para nuestra portada! Míralo en www.dibujo-portada.com.ar.	1			0	0	0	0
Hace mucho calor, vamos a la pileta?	0			0	0	0	0
¿Podés darme tu número de pasaporte? Es para la reserva del viaje.	1			0	0	0	0
Hey, olvidé mi billetera en tu coche. ¿Podemos encontrarnos mañana?	0			0	0	0	0
Tu solicitud de cambio de dirección ha sido procesada. Todo está actualizado ahora.	0			0	0	0	0
Tu cuenta ha sido bloqueada. Verifica tu identidad aquí para desbloquearla.	1			0	0	0	1
Tu tarjeta de crédito ha sido bloqueada. Ingresa tus datos aquí para desbloquearla.	1			0	0	0	0
No puedo creer que seamos graduados! ¿Te acuerdas de nuestra primera clase juntos?	0			0	0	0	0
Tu boleta de ABL está disponible. Pagala en www.abl-pago.com.ar antes de la fecha de vencimiento.	1			0	0	0	0
¡Sorteo de un auto 0km! Anotate en www.sorteo-auto.com.ar y cruzá los dedos. ¡Suerte!	1			0	0	0	0
Tu vuelo ha sido confirmado. Aquí tienes los detalles.	0			0	0	0	0
La práctica de fútbol de esta noche ha sido reprogramada. Te enviaré los detalles de la nueva fecha y hora.	0			0	0	0	0
Tu cita para la revisión del coche ha sido programada. Te enviaré un recordatorio el día antes.	0			0	0	0	0
Che, ¿podés enviarme una foto de tu DNI? Es para un trámite rápido.	1			0	0	0	0
¡Ofertón en vuelos a Córdoba! Solo por hoy en URL.	1			0	0	0	0
La solicitud de devolución de tu producto defectuoso ha sido aprobada. Por favor, sigue las instrucciones para el envío.	0			0	0	0	0
La activación de tu modo de privacidad ha sido realizada. Tu actividad en línea ahora está protegida.	0			0	0	0	0
Eh, capo, encontré estas fotos tuyas en una página rara. ¿Las viste?	1			0	0	0	0
Che, necesito tu número de tarjeta y clave para hacer una reserva. Te pago después, dale?	1			0	0	0	0
¡Promo en productos de ferretería! Comprá en www.ferreteria-descuento.com.ar y arreglá lo que necesitás.	1			0	0	0	0
La confirmación de tu asistencia a la conferencia virtual ha sido recibida. Encuentra el enlace de acceso en tu correo electrónico.	0			0	0	0	0
La transferencia de tus datos al nuevo dispositivo ha sido completada. Verifica que todo esté en orden.	0			0	0	0	0
Te llegó un paquete, pero necesitan confirmar tu dirección. Completá tus datos acá. URL.	1			0	0	0	0
La activación de tu garantía extendida ha sido procesada. Mantén tu recibo como comprobante.	0			0	0	0	0
Tu cuenta de LinkedIn fue reportada. Tenés que confirmar tus datos en URL o te la bloquean.	1			0	0	0	1
Necesito ayuda con mi computadora. ¿Puedes venir a verla?	0			0	0	0	0
La verificación de tu dispositivo para la reparación bajo garantía ha sido exitosa. Procederemos con la reparación sin costo.	0			0	0	0	0
Recibí tu solicitud de vacaciones. Está aprobada, así que disfruta de tu tiempo libre. ¡Te lo mereces!	0			0	0	0	0
Tu cuenta de Instagram fue hackeada. Cambiá tu contraseña en URL antes de que sea tarde.	1			0	0	0	1
Tu reserva para la consulta en línea con nuestro experto ha sido confirmada. Asegúrate de tener una buena conexión a Internet.	0			0	0	0	0
Boludo, ¿me das tu CBU? Quiero hacerte una transferencia.	1			0	0	0	0
¡Alerta! Hemos detectado actividad sospechosa en tu cuenta. Verifica aquí.	1			0	0	0	1
¡Tu comentario ha sido el más votado! Revisa las respuestas en www.comentario-votado.com.ar.	1			0	0	0	0
La respuesta a tu consulta técnica ha sido enviada. Si la solución no funciona, por favor, responde con más detalles.	0			0	0	0	0
Boludo, me enteré q van a aumentar el bondi de nuevo	0			0	0	0	0
Dale, decime tu dirección de email y contraseña, y te ayudo a configurar algo	1			0	0	0	0
Viste el gol de Boca? Una locura, no?	0			0	0	0	0
Amigo, me llegó un mail de tu cuenta con este link. ¿Es seguro? URL.	1			0	0	0	1
Che, me prestas la bici mañana?	0			0	0	0	0
Tu cita para el tour gastronómico ha sido confirmada. Detalles en www.tour-gastronómico.com.ar.	1			0	0	0	0
Oye, encontré estas fotos tuyas en una página. ¿Las conocés? URL.	1			0	0	0	0
¡Únete ahora! Nuestro programa exclusivo te ayudará a ganar dinero rápidamente. Haz clic aquí.	1			0	0	0	1
¡Oferta por tiempo limitado! Compra este producto con un descuento del 70%. Haz clic aquí.	1			0	0	0	0
Tu cita en el dentista fue programada. Confirmá en www.dentista-cita.com.ar y cuidá tu sonrisa.	1			0	0	0	0
La reunión con el cliente ha sido programada para las 10 a. m. de mañana. Te enviaré un recordatorio.	0			0	0	0	0
Q onda con la chica q te gusta? Avanzaste algo?	0			0	0	0	0
Tu cuenta de MercadoPago necesita verificación. Hacelo en URL antes de que te la bloqueen.	1			0	0	0	1
Te seleccionamos para una encuesta. Completala en www.encuesta-premio.com.ar y ganate una gift card de $1000.	1			0	0	0	1
Q onda con la reunión de la secundaria? Vamos?	0			0	0	0	0
Tu espacio en el estacionamiento ha sido reservado. Detalles en www.estacionamiento-reservado.com.ar.	1			0	0	0	0
Q onda con tus viejos? Hace mucho q no los veo	0			0	0	0	0
Hoy fui a una boda. Me emocioné y todo, jajaja	0			0	0	0	0
Tenes el numero de Juan? Necesito llamarlo	0			0	0	0	0
Che, ¿esto es tuyo? Encontré este link con tu nombre. URL.	1			0	0	0	0
¡Tu jardín ha sido nominado como el mejor de la ciudad! Mira las fotos en www.jardin-nominado.com.ar.	1			0	0	0	0
Soy tu vecino del 3°B. Mirá estas fotos en www.tusfotos-online.com, ¿no es tu auto?	1			0	0	0	0
Tu recibo de sueldo está disponible. Descargalo en www.recibo-sueldo.com.ar y revisá tus ingresos.	1			0	0	0	0
Tu cuenta ha sido bloqueada. Verifica tu identidad aquí para desbloquearla.	1			0	0	0	1
Tu amigo te invitó a jugar online. Unite en www.juego-online.com.ar y divertite con él.	1			0	0	0	0
Che, me pasas la sal? La comida esta sosa	0			0	0	0	0
¡Sorpresa! Has sido elegido para una prueba gratuita de nuestro servicio premium. Regístrate aquí.	1			0	0	0	0
Oye, ¿me das tu número de tarjeta de crédito? Quiero comprarte algo online.	1			0	0	0	0
Tu cita para la entrevista ha sido confirmada.	0			0	0	0	0
La reparación de tu coche costará $500. Por favor, confirma si estás de acuerdo.	0			0	0	0	0
Necesito tu dirección completa para el envío. ¿Me la das?	1			0	0	0	0
¡Felicidades! Ganaste un viaje a Córdoba. Confirmá tus datos en www.viajeGratisCBA.com y prepárate para viajar.	1			0	0	0	0
Q opinas de la nueva música? Yo extraño los clásicos	0			0	0	0	0
Verifica tu identidad ahora para evitar cargos adicionales en tu cuenta. Haz clic aquí.	1			0	0	0	1
Has ganado un premio en nuestro sorteo exclusivo. Haz clic aquí para reclamarlo.	1			0	0	0	1
Oye, ¿me das tu dirección completa? Quiero mandarte algo por correo.	1			0	0	0	0
Tu auto fue multado. Pagá la multa en www.multas-transito.com.ar antes de que sea tarde.	1			0	0	0	0
Gana dinero fácilmente participando en nuestra encuesta exclusiva. Haz clic aquí.	1			0	0	0	0
Estoy buscando un nuevo apartamento. ¿Conoces algo bueno?	0			0	0	0	0
Si ves a Jhon, dile que me llame, perdí mi telefono y necesito encontrarlo.	0			0	0	0	0
Q opinas de los OVNIs? Yo creo q existen	0			0	0	0	0
¡Ganaste una cata de vinos! Reservá en www.vinos-cata.com.ar y disfrutá de los mejores sabores.	1			0	0	0	0
Tu factura de teléfono ha sido pagada automáticamente. Todo está en orden.	0			0	0	0	0
Oye, encontré estas fotos tuyas en la web. Mira aca www.tusFotosLeaked.com. ¿Es esto real?	1			0	0	0	0
La entrega de tu pedido ha sido reprogramada para mañana.	0			0	0	0	0
Vamos a tomar algo el sabado, te prendes?	0			0	0	0	0
Che, me pasas la tarea de matematica? No entendí nada	0			0	0	0	0
¡Ganaste un día en el spa! Reservá tu cita en www.spa-gratis.com.ar y relajate.	1			0	0	0	1
Q haces con el perro? Lo estas paseando?	0			0	0	0	0
