message	phishing
Espero que estés bien. Me gustaría ponernos al día pronto. ¿Qué te parece si nos encontramos en Fibertel?	0
El envío de tu pedido información de contacto. ¡Gracias por elegirnos!	0
¡Hola! Soy yo, Lucía. He creado una nueva cuenta, la anterior fue hackeada. ¿Puedes ayudarme con un pequeño favor?	1
Sólo quería agradecerte por tu ayuda el otro día. Realmente aprecio tu apoyo	0
Si no quieres perder más tiempo en trámites, Laura es la persona que necesitas. Encuentra más sobre él en nombre.apellido@gmail.com	1
¡Gracias por compartir ese video en MercadoPago! Me hizo reír mucho	0
Sólo quería decirte que estuve pensando en ti. Espero que estemos en contacto pronto	0
Hola, parece que tienes una factura pendiente con Whatsapp. Haz clic para ver los detalles	1
¡Felicidades! Ganaste un premio exclusivo. Haz clic aquí para obtenerlo. Asegúrate de estar en el sitio oficial	1
Estoy buscando un buen lugar para cenar en la ciudad. ¿Conoces algún lugar en MercadoPago?	0
Estoy buscando sugerencias para la membresía. ¿Tienes alguna recomendación?	0
Conozco a alguien que te podría ayudar con ese trámite. Habla con Fernando en nombre.apellido@gmail.com	1
¡Felicidades! Ganaste un premio exclusivo. Sigue este enlace para obtenerlo. Asegúrate de estar en el sitio oficial	1
¿Quieres destacar más? Por un pequeño pago, podemos mejorar tu perfil. Visita este enlace si estás interesado	1
¡Genial! Tienes un bono de $500 esperando por ti. Ingresa tus datos para obtenerlo	1
Alguien está difundiendo rumores sobre ti en Whatsapp. Haz clic aquí para ver lo que están diciendo	1
Descubre cómo las criptomonedas están cambiando la forma de ganar dinero. Haz clic aquí para unirte a nuestro grupo	1
Hola, un amigo en común mencionó que podrías ayudarme. ¿Me podrías dar tu la reunión se ha reprogramado?	1
He estado pensando en lo que discutimos en Facebook. Deberíamos hablar más sobre eso	0
¿Viste el último episodio de esa serie en Gmail? No puedo creer lo que pasó	0
¡Hola! Hace tiempo que no hablamos. ¿Cómo has estado?	0
¡Enhorabuena! Has sido seleccionado para una ¡Oportunidad única!. Haz clic aquí para más detalles	1
¿Quieres destacar más? Por un pequeño pago, podemos mejorar tu perfil. Verifica tu identidad si estás interesado	1
Hace mucho que no nos vemos. ¿Te gustaría salir a tomar algo esta semana?	0
¡Hola! Soy el asistente virtual de Whatsapp. Parece que hay un pequeño problema con tu cuenta. Haz clic para que te ayude	1
